filename,source,point_size
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_1_pos_3_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_1_pos_8_RLC m.png,Specimen sheets,08_Brevier
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_17_pos_5_RLC m.png,Specimen sheets,48_French_Cannon
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_22_pos_6_RLC m.png,Specimen sheets,40_Two-line_Double_Pica
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_34_pos_38_RLC m.png,Specimen sheets,36_Two-line_Great_Primer
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_42_pos_37_RLC m.png,Specimen sheets,28_Two-line_English
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_42_pos_45_RLC m.png,Specimen sheets,28_Two-line_English
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_42_pos_6_RLC m.png,Specimen sheets,28_Two-line_English
PR-BROADSIDES-A-00077-00004-000-00001_500dpi full edited_line_9_pos_6_RLC m.png,Specimen sheets,60_Five-line_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_11_pos_14_RLC m.png,Specimen sheets,20_Double_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_11_pos_22_RLC m.png,Specimen sheets,20_Double_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_14_pos_24_RLC m.png,Specimen sheets,20_Double_Pica
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_24_pos_10_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_24_pos_18_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_25_pos_11_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_25_pos_17_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_27_pos_30_RLC m.png,Specimen sheets,16_Great_Primer
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_35_pos_11_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_35_pos_3_RLC m.png,Specimen sheets,14_English
PR-BROADSIDES-A-00077-00004-000-00002_500dpi_1sthalf_line_35_pos_34_RLC m.png,Specimen sheets,14_English
